"spiel_id","spiel_title","bgg_id","note"
"196","Epic Melee","","Fill verified BGG ID"
"1364","Estate: Raise the Realm","","Fill verified BGG ID"
"168","Everrealms of Eterna - Chapter 1: The Beginning","","Fill verified BGG ID"
"195","Everrealms of Eterna – Chapter 2: The Shadows of Lorrant","","Fill verified BGG ID"
"150","Express Zustellung","","Fill verified BGG ID"
"1348","Extra Roll","","Fill verified BGG ID"
"373","FORMIQ","","Fill verified BGG ID"
"331","FURRY PAWLITICS","","Fill verified BGG ID"
"211","FaeKin (German release)","","Fill verified BGG ID"
"916","Fall 6: Polarnacht","","Fill verified BGG ID"
"538","Fame & Fable: Legenden","","Fill verified BGG ID"
"620","FangFrage","","Fill verified BGG ID"
"428","Fantastique","","Fill verified BGG ID"
"979","Fantasy Ink","","Fill verified BGG ID"
"1090","Fast Out - Stadt, Land, Fluss war gestern!","","Fill verified BGG ID"
"1152","Fate: Godin & Valkyria","","Fill verified BGG ID"
"1041","Fate: Valkyria & Godin Erweiterung","","Fill verified BGG ID"
"362","Fearsome Floors (Reanimated Version)","","Fill verified BGG ID"
"727","Fensterforscher","","Fill verified BGG ID"
"744","Final Girl Series 4 Ultimate Box","","Fill verified BGG ID"
"712","Final Girl: The Raptor Games","","Fill verified BGG ID"
"858","Final Titan: Godspark Expansion","","Fill verified BGG ID"
"845","Final Titan: Mindbug Expansions","","Fill verified BGG ID"
"1205","Finde etwas!","","Fill verified BGG ID"
"1170","Fish 'em Up","","Fill verified BGG ID"
"340","Fishing 2","","Fill verified BGG ID"
"585","Flamme Rouge – Champions Edition","","Fill verified BGG ID"
"678","Flicso","","Fill verified BGG ID"
"904","Flip 7 - Vengeance","","Fill verified BGG ID"
"1316","Flush","","Fill verified BGG ID"
"144","Flying Spit","","Fill verified BGG ID"
"991","Flügelschlag: Mittel- und Südamerika","","Fill verified BGG ID"
"1333","Forage: Secret Glade","","Fill verified BGG ID"
"1231","Forestry: Growing Forward","","Fill verified BGG ID"
"1169","Form it Out!","","Fill verified BGG ID"
"638","Found You!","","Fill verified BGG ID"
"677","Fourth Wing (EN)","","Fill verified BGG ID"
