name,expansion,players,play_time,age,designers,publishers,hall,booth,priority,preorder,prepaid,price,notes
Circadia,0,2-5,"30 min",8,"Hisashi Hayashi","Synapses Games",2,2E610,Need,0,0,,
"Citadels Duel",0,2,"30 min",14,"Guillaume Montiage, Manuel Rozoy","Z-Man Games",,,Need,0,0,30,
"Cities USA",0,1-4,"45-60 min",10,"Steve Finn, Phil Walker-Harding",Devir,3,3D600,Need,0,0,,
"Claim Erweiterung: Allianzen",1,2,"25 min",10,"Scott Almes","Game Factory",6,6B110,Need,0,0,12,
"Class of '89",0,1-4,"60-90 min",14,"Kory Jordan","Paverson Games",4,4B200,Need,0,0,,
"Club of Cthulhu",0,2-4,"15-30 min",15,"Shi Chen","Play With Us Design (玩聚設計)",2,2E510,Need,0,0,32,
"Clueless Club",0,3-6,,14,"Reader on Jupiter","Mandoo Games",6,6B201,Need,0,0,,
"Coaster Clash",0,3-5,"30-45 min",10,"Rogier van Ham","Wulfhorn Games",3,3H225,Need,0,0,15,
"Codenames: Critical Role Adventures",0,2-4,"25 min",10,"Vlaada Chvátil, Felix Podlesny","Czech Games Edition (CGE)",3,3V400,Need,0,0,35,
"Codenames: Critical Role Adventures",0,2-4,"25 min",10,"Vlaada Chvátil, Felix Podlesny","Czech Games Edition (CGE)",3,3V400,Need,0,0,35,
"Codenames: Critical Role Adventures ? Vox Machina Expansion Pack",1,2-4,"15 min",10,"Vlaada Chvátil, Felix Podlesny","Czech Games Edition (CGE)",3,3V400,Need,0,0,10,
"Codenames: Fairy Tales Expansion Pack",1,4-8,"15 min",10,"Vlaada Chvátil","Czech Games Edition (CGE)",3,3V400,Need,0,0,8,
"Codenames: M�rchen Erweiterungspack",1,4-8,"15 min",10,"Vlaada Chvátil","Czech Games Edition (CGE)",3,3V400,Need,0,0,8,
"Codenames: Niedliche Viecher Erweiterungspack",1,4-8,"15-30 min",10,"Vlaada Chvátil","Czech Games Edition (CGE)",3,3V400,Need,0,0,8,
"Codenames: Pictures ? Cute Critters Expansion Pack",1,4-8,"15-30 min",10,"Vlaada Chvátil","Czech Games Edition (CGE)",3,3V400,Need,0,0,8,
"Codenames: Sci-Fi Erweiterungspack",1,4-8,"15 min",10,"Vlaada Chvátil","Czech Games Edition (CGE)",3,3V400,Need,0,0,8,
"Codenames: Sci-Fi Expansion Pack",1,4-8,"15 min",10,"Vlaada Chvátil","Czech Games Edition (CGE)",3,3V400,Need,0,0,8,
"Collect!: Sharp & Shimmer",1,2-5,"15 min",8,"Jérémy Ducret, Johannes Goupy","CMON Global Limited",6,6F301,Need,0,0,6,
"Colosseum: The Grand Spectacle",0,1-5,"60-90 min",10,"Wolfgang Kramer, Markus Lübke","Fantasia Games",3,3Q315,Need,0,0,,
"Combo Creatures: The Quick Ones",0,2-4,"20 min",7,"Michael Løhde Andersen, Christian Kudahl","DV Games",3,3P500,Need,0,0,19,
"Combo Creatures: The Witty Ones",0,2-4,"20 min",7,"Michael Løhde Andersen, Christian Kudahl","DV Games",3,3P500,Need,0,0,19,
"Coming of Age",0,1-4,"40-80 min",14,"Dani Garcia","Giant Roc",2,2E440,Need,0,0,55,
"Compile: Aux 3",1,2,"30-45 min",14,"Michael Yang","Synapses Games",2,2E610,Need,0,0,6,
"Compile: Main 3",0,1-2,"30-40 min",14,"Michael Yang","Synapses Games",2,2E610,Need,0,0,22,
Compress,0,2-4,"15-30 min",10,"Jun Sasaki, Goro Sasaki","Oink Games",6,6C310,Need,0,0,20,
"Conservas: Exotic Tides",1,1,"25-35 min",10,"Scott Almes","Salt & Pepper Games",3,3A400,Need,0,0,30,
Container,0,3-5,"45-90 min",12,"Franz-Benno Delonge, Thomas Ewert, Kevin Nesbitt",Allplay,8,8D200,Need,0,0,40,
Cosmo,0,2-5,"15-20 min",8,"宮野 華也 (Kaya Miyano)",Helvetiq,8,8D300,Need,0,0,10,
"Council of Serpents",0,1-4,"30 min",14,"Joeri Hessels, Wouter Moons","Wulfhorn Games",3,3H225,Need,0,0,30,
"Courtisans: Diplomates et confidents",1,2-6,"20-30 min",8,"Romaric Galonnier, Anthony Perone","Catch Up Games",6,6K400,Need,0,0,6,
